"°íÀ¯¹øÈ£","¾ð¾î","»óÈ£¸í","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","ÆÑ½º¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈÞ¹«ÀÏ","±³ÅëÁ¤º¸","ÅÂ±×","Àå¾ÖÀÎÆíÀÇ½Ã¼³"
"815","ja","«¦«ó«Ò«ç«ó«°«ó(ê£úÖÏà)","110-350 «½«¦«ëã¼ñ¤ÖØ?ê£ÒúÔ×114-10 ","03131 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«µ«ß«ë«Ç«í464  (ê£ÒúÔ×) ","+82-2-766-9090","+82-2-742-3900","http://www.unhyeongung.or.kr/","11?3êÅ 9:00-18:00¡¢4?10êÅ 9:00-19:00  ¡ØìýÎ½ªÏøÍÎ½ãÁÊà30ÝÂîñªÞªÇ ","","êÅèøìí (êÅèøìíª¬õæìíªÎíÞùêªÏËÒÎ½)","ò¢ù»?3?àÊ¡¸«¢«ó«°«¯¡¹?4ÛãõóÏ¢ª«ªéå³50m    ò¢ù»?5?àÊ¡¸«Á«ç«ó«Î«µ«à«¬¡¹?5ÛãõóÏ¢ª«ªé«¢«ó«°«¯?Û°ØüªØå³300m","ýéà¾ÓÞêÂÏÖê£ÒúÔ×?ÞÈðÈàØèÝðÈãÁÓÛ«¦«ó«Ò«ç«ó«°«óÞÈîçèÝðÈëý¡??ÍÔðóäÌ?ñ£ÖØê£úÖÏà","«¢«¯«»«·«Ó«ê«Æ«£«Ð«ê«¢«Õ«ê?«È«¤«ì"
"74","ja","«­«ç«ó«Ü«Ã«¯«ó(ÌØÜØÏà)","110-820 «½«¦«ëã¼ñ¤ÖØ?á¦ðóÖØ 1-1 ÌØÜØÏà","03045 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«µ«¸«¯«í161 (á¦ðóÖØ)«­«ç«ó«Ü«Ã«¯«ó(ÌØÜØÏà)","+82-2-3700-3900","+82-2-3700-3909","http://www.royalpalace.go.kr:8080/html/eng_gbg/main/main.jsp","11?2êÅ 9:00?17:00 3?5êÅ£¯9?10êÅ 9:00?18:30 6?8êÅ 9:00?18:30 ¡ØìýíÞªÏøÍÎ½1ãÁÊàîñªÞªÇ","","ûýèøìí","ò¢ù»?3?àÊ¡¸«­«ç«ó«Ü«Ã«¯«ó(«½«¦«ëïÙÝ¤??)¡¹?5ÛãõóÏ¢ª«ªéÓù?5ÝÂ ò¢ù»?5?àÊ¡¸«¯«¡«ó«Õ«¡«à«ó¡¹?2ÛãõóÏ¢ª«ªéÓù?10ÝÂ","?ÞÈÌØÜØÏà?Ø¡ÚÅáÔÚÏÚªÎ½å¨Êà??Í¯ÏàðÈàØèÝðÈÎÃûùÚ¦ùÛÜ×«ì«ó«¿«ë","«¢«¯«»«·«Ó«ê«Æ«£«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"1902","ja","«¯«¡«ó«Õ«¡«à«ó(ÎÃûùÚ¦)?íÞ","110-820 «½«¦«ëã¼ñ¤ÖØ?á¦ðóÖØ 1-68","110-820 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«»«¸«ç«ó«Ç«í172 (á¦ðóÖØ)","+82-2-120","","http://plaza.seoul.go.kr/gwanghwamun","","","","ò¢ù»?3?àÊ¡¸«­«ç«ó«Ü«Ã«¯«ó(ïÙÝ¤«½«¦«ë??)¡¹?6¡¤7ÛãõóÏ¢èâüµëÞú¼Û°Øü ò¢ù»?5?àÊ¡¸«¯«¡«ó«Õ«¡«à«ó¡¹?1¡¤2¡¤8ÛãõóÏ¢ ò¢ù»?1?àÊ¡¸«·«Á«ç«ó¡¹?3ÛãõóÏ¢ª«ªé«È«¯«¹«°«ó(??Ïà)îñªò÷×ªê«³«ê«¢«Ê«Û«Æ«ëÛ°Øü  ","«Á«ç«ó«²«Á«ç«ó??ô¹á¦ðóÙþûù?Î½?ÞÈÔ´ã¼Ùþûù?íÞá¦ðóÓÞèÝÎÃûùÚ¦?íÞ?íÞÌØÜØÏà«¯«¡«ó«Õ«¡«à«ó×Ýâïãí","«¢«¯«»«·«Ó«ê«Æ«£«Ð«ê«¢«Õ«ê?«È«¤«ì"
"1244","ja","«µ«à«¹«óÚ¸âúÎ½Leeum","140-893 «½«¦«ëã¼×£ß£?ùÓÑõÔ×742-1 ","04348 «½«¦«ëã¼«è«ó«µ«ó(×£ß£)?«¤«Æ«¦«©«ó«í55«®«ë60-16  (ùÓÑõÔ×)","+82-2-2014-6901","","http://leeum.samsungfoundation.org/html/global/main.asp","10:30-18:00  ¡ØìýíÞªÏøÍÎ½1ãÁÊàîñªÞªÇ","","êÅèøìí¡¢1êÅ1ìí¡¢?ïáêÅÖ§ýÌ¡¢õÕàª(?ÝÎ)Ö§ýÌ","ò¢ù»?6?àÊ¡¸«Ï«ó«¬«ó«¸«ó¡¹?1ÛãõóÏ¢ª«ªéÓù?10ÝÂ   ","«½«¦«ëÚ¸âúÎ½î÷ØÐ÷»ùÛ?Ú¸âúÎ½«µ«à«¹«óÚ¸âúÎ½Leeum«Ï«ó«¬«ó«¸«ó?×Þ÷ÁêÂÙþûù«ê«¦«àÚ¸âúÎ½ß²àøÚ¸âúÎ½Leeum«®«ã«é«ê?Ú¸âúÎ½","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"32867","ja","«½«¦«ë«¦«ê«½«ê(ÚÅ?)ÚÏÚªÎ½"," ¼­¿ï Á¾·Î±¸ ¿Í·æµ¿ 5-9 ","03131 «½«¦«ë÷åÜ¬ã¼«Á«ç«ó«Î(ñ¤ÖØ)?«æ«ë«´«¯«í96 ","+82-2-742-2600","","http://gomuseum.seoul.go.kr/sekm/index","××éÄÊ¦ÒöãÁÊà 09:00~19:00 ","","ýÌÎ½ìíªÏ?ñÎêÅèøìí¡¢êªÓ©¡¢?ïáêÅ¡¤õÕàª(??8êÅ15ìí)?ìí","3?àÊ«¢«ó«°«¯?4ÛãõóÏ¢ 1¡¤3¡¤5?àÊ«Á«ç«ó«Î«µ«à«¬?6ÛãõóÏ¢","ùÛ?ªÎÊ°«Á«ã«ó«É«Ã«°«ó(óã?Ïà)ÚÏÚªÎ½«¤«¯«½«ó«É«ó(ìÌà¼Ô×)ÚÅ?ÚÏÚªÎ½Ô´ã¼«½«¦«ë??","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì"
"101","ja","«½«¦«ë«Ï«Ë«ã«ó(ùÓåÕ)Ô´àò","110-126 «½«¦«ëã¼ñ£ÖØ?ñ¤ÖØ6Ê¶ 70-6","03098 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«æ«ë«´«¯«í283 (ñ¤ÖØ6Ê¶)","+82-2-120","","http://seoulcitywall.seoul.go.kr/front/jp/index.do","","","","ò¢ù»?3?àÊ¡¸«¢«ó«°«¯¡¹?2ÛãõóÏ¢ª«ªé«Þ«¦«ë«Ð«¹02ÛãªË?ªêüµª¨¡¢«ï«ê«ç«ó(èÂ×£)Íëê®ªÇù»ó³Óù?10ÝÂ ò¢ù»?4?àÊ¡¸«Õ«§«Ò«ç«ó¡¹?1ÛãõóÏ¢ª«ªé«Þ«¦«ë«Ð«¹08Ûã[Á¾·Î08]ªË?ªêüµª¨¡¢«ï«ê«ç«ó(èÂ×£)3Ê¶ªÇù»ó³Óù?30ÝÂ","ÝÁä¿ß£«½«¦«ë?ÎÃàòÛú?ÞÈ4á³Ú¦ìÒèÝß£ÔÔÓÞÚ¦«½«¦«ëùÓåÕÔ´àòàòÎ¬Õ­ß£ùÓåÕÔ´àòÑõß£4ÓÞÚ¦ë¶îæò¢¡¤Ùþûùî¯","«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ"
"10235","ja","«½«¦«ë?ßöÎ½(?«½«¦«ëã¼??)"," «½«¦«ëã¼ñé?÷¼øÁÖØ1Ê¶ 31«½«¦«ëã¼?"," «½«¦«ëã¼«Á«å«ó(ñé)?«»«¸«ç«ó«Ç«í110 (÷¼øÁÖØ1Ê¶)«½«¦«ëã¼?","+82-2-2133-0300","","https://lib.seoul.go.kr/","ûý~ÐÝ 09:00~21:00 ÷Ïìí 09:00~18:00","","êÅèøìíªªªèªÓõæð®ìí","ò¢ù»?1?àÊ/2?àÊ¡¸«·«Á«ç«ó¡¹?5ÛãõóÏ¢ ò¢ù»?2?àÊ¡¸«¦«ë«Á«í«¤«×«¯¡¹?1ÛãõóÏ¢","«½«¦«ë?ßöÎ½ã¼??ßöÎ½?«½«¦«ëã¼???ßöÎ½«é«ó«É«Þ?«¯ã¼??ÞÈ","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"5767","zh-TW","ÏÐüåì¡ÞÀÓÑ","150-701 âÏì³ã¼çµÔôøÝÏ¡æ£ëøÓöÔ×1 ","150-701 âÏì³ã¼çµÔôøÝÏ¡ì¡ÞÀÓÑÓÞÖØ1 ","+82-2-788-2114","+82-2-788-3664","http://www.assembly.go.kr","09:00~18:00  ñÎ×¿¡¢ìí 09:00~17:00","ñÎìé~ñÎìí","ØßêÅð¯2ËÁ¡¢ð¯4ËÁàøÑ¢ìí¡¢ÏÐïÒÊ£Ñ¢¡¢ÏÐüåËïÎ½ÑºÒ·ìí(5êÅ31ìí)","ò¢ôÑ9ûÜàÊÏÐüåì¡ÞÀÓÑó×1¡¢6ûÜõóÏ¢  ","ÏÐüåì¡ÞÀÓÑó×ÏÐüåì¡ÞÀÓÑÏÐüåÓñßöÎ½æ£ëøÓöÕöÞÈÏÐüåì¡ê¬üåÎ½","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"1564","ja","«½«¦«ëã¼Ø¡Ú¸âúÎ½(à¤á³Ú¦ÜâÎ½)","100-813 «½«¦«ëã¼ñé?à¤á³Ú¦Ô×37 ","04515 «½«¦«ëã¼«Á«å«ó(ñé)?«È«Ã«¹«°«ó«®«ë61 (à¤á³Ú¦Ô×)","+82-2-2124-8800","","http://sema.seoul.go.kr/global/jindex.jsp?x=18&y=12","[3?10êÅ]ûý?ÑÑèøìí10:00-20:00 (÷Ï?ìíèøìíªªªèªÓõæð®ìíªÏ19ãÁªÞªÇ)  [11?2êÅ]ûý?ÑÑèøìí10:00-20:00 (÷Ï?ìíèøìíªªªèªÓõæð®ìíªÏ18ãÁªÞªÇ)  ¡ØìýíÞªÏøÍÎ½ªÎ1ãÁÊàîñªÞªÇ  ¡Ø«ß«å?«¸«¢«à«Ê«¤«Èê¡?(22ãÁªÞªÇå¨ÊàËÒÎ½) - «½«½«à«ó(à¤á³Ú¦)ÜâÎ½£º?êÅð¯2â©èøìíªªªèªÓõÌðûñÎâ©èøìí(ÙþûùªÎª¢ªëìí)  - ÝÁ«½«¦«ëÚ¸âúÎ½£º?êÅ2üÞ(ð¯1¡¤ð¯3â©èøìí)ªªªèªÓõÌðûñÎâ©èøìí(ÙþûùªÎª¢ªëìí)","","êÅèøìí¡¢1êÅ1ìí ","ò¢ù»?2?àÊ¡¸«·«Á«ç«ó¡¹?10ÛãõóÏ¢    ò¢ù»?5?àÊ¡¸«½«Ç«à«ó¡¹?6ÛãõóÏ¢    ","«½«¦«ëã¼Ø¡Ú¸âúÎ½ïöÔ×ã¼?Ú¸âúÎ½«½«¦«ëÚ¸âúÎ½ùÛ?Ú¸âú«½«¦«ëÚ¸âúéýâú¡¤«¢?«È","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"2724","ja","«½«¦«ë?ÞÈÚÏÚªÎ½","110-062 «½«¦«ëã¼ñ¤ÖØ?ãæÚ¦ÖØ2Ê¶ 2-1","03177 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«»«à«Ê«ó«í55 (ãæÚ¦ÖØ2Ê¶)","+82-2-724-0274","","http://www.museum.seoul.kr","øÁìí 9:00?20:00 ÷Ï¡¤ìíèø¡¤õæìí 9:00?19:00 (11?2êÅ£¯9:00?18:00)","","êÅèøìí¡¢1êÅ1ìí","ò¢ù»?5?àÊ¡¸«¯«¡«ó«Õ«¡«à«ó¡¹?7ÛãõóÏ¢Óù?7ÝÂ ò¢ù»?5?àÊ¡¸«½«Ç«à«ó¡¹?4ÛãõóÏ¢Óù?8ÝÂ ò¢ù»?3?àÊ¡¸«­«ç«ó«Ü«Ã«¯«ó(ïÙÝ¤«½«¦«ë??)¡¹?7ÛãõóÏ¢Óù?10ÝÂ  ","ÚÏÚªÎ½«½«¦«ë?ÞÈÚÏÚªÎ½?ÞÈÌÔý÷ÏàÚÏÚªÎ½¡¤ÑÀÒ·Î½î÷ãÆÐê?î÷ßÈàâî÷","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"1415","ja","«½«ó«¸«ç«ó«Ì«ó(à¾ïþ×Õ)","135-090 «½«¦«ëã¼Ë°Ñõ?ß²à÷Ô× 135-4","135-090 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«½«ó«ë«ó«í100«®«ë1 (ß²à÷Ô×)","+82-2-568-1291","+82-2-568-0773","http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08","3êÅ~10êÅ 6:00-21:00 11êÅ~1êÅ 6:30-17:30 2êÅ 6:00-18:00 ¡Ø ìýíÞªÏøÍê®1ãÁÊàîñªÞªÇÊ¦Òö ¡Ø 20:00ì¤Ë½ªÎìýíÞÜôÊ¦¡£å¨ÊàªÏðÎÙ¥ªÎª¢ªë«¨«ê«¢ªÎªß??Ê¦Òö","ûýèøìí~ìíèøìí","êÅèøìí","ò¢ù»?2?àÊ/«×«ó«À«óàÊ¡¸«½«ó«ë«ó¡¹?10ÛãõóÏ¢ ò¢ù»?9?àÊ/«×«ó«À«óàÊ¡¸«½«ó«¸«ç«ó«Ì«ó¡¹?3ÛãõóÏ¢","ïþ×ÕÙþûùë¶ß§à¾ïþ«Ç?«Èà¾ïþ×Õá¦Í£Ùþûùë¶ß§«½«¦«ëªÎÌ¸ªÉª³ªí«½«¦«ë?ÞÈîÜÙ£á¶à¾×Õ«½«¦«ëÍëê®«½«¦«ë«Ç?«ÈíÞá¶ªªª¹ª¹ªáÍëê®«Ç?«È«½«ó«ë«ó?Ô´ã¼ªÎñéªÎ«æ«Í«¹«³","«¢«¯«»«·«Ó«ê«Æ«£«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"37220","ja","«Á«ã«ó«®«ç«ó«°«ó(óã?Ïà)ÓÞ?ãø"," «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«ï«ê«ç«ó«É«ó(èÂ?Ô×)2-1 ","03072 «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«Á«ã«ó«®«ç«ó«°«ó«í185 «ï«ê«ç«ó«É«ó(èÂ?Ô×)«Á«ã«ó«É«Ã«¯«ó(óã?Ïà)","+82-2-762-4868~9","+82-2-762-9514","http://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG","","","","ò¢ù»?4?àÊ¡¸ªØ«Õ«¡¡¹?4ÛãõóÏ¢ª«ªé700m","«Á«ã«ó«®«ç«ó«°«ó«½«¦«ëªÎÙ£á¶«Á«ã«ó«®«ç«ó«°«óÓÞ?ãø«Á«ã«ó«®«ç«ó«°«ó«Ç?«Èóã?Ïà«Á«ã«ó«®«ç«ó«°«ó«Õ«©«È«¹«Ý«Ã«È","?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"299","ja","«Á«ã«ó«®«ç«ó«°«ó(óãÌÔÏà)","110-360 «½«¦«ëã¼ñ£ÖØ?èÂ?Ô× 2-1","03072 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«Á«ã«ó«®«ç«ó«°«ó«í185 (èÂ?Ô×)","+82-2-762-4868","+82-2-762-9514","https://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG","9:00?21:00 ¡Ø«Á«±«Ã«È÷ü?ªÏ¡¢??ðûÖõ1ãÁÊàîñªÞªÇÊ¦Òö","","êÅèøìí","ò¢ù»?4?àÊ¡¸«Ø«Õ«¡¡¹?4ÛãõóÏ¢ª«ªéÓù?15ÝÂ","äÌ??à÷ðóÍ¯ÏàÎÃûùÚ¦å¨Êà???ÞÈ«Á«ã«ó«®«ç«ó«°«óóãÌÔÏà","«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"302","ja","«Á«ã«ó«É«Ã«¯«ó(óã?Ïà)","110-360 «½«¦«ëã¼ñ¤ÖØ?èÂ×£Ô×2-71 ","03072 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«æ«ë«´«¯«í99 (èÂ×£Ô×)","+82-2-762-8261","+82-2-762-2070","http://www.cdg.go.kr","óã?Ïà¡¤óãÌÔÏàìéÚõ??ãÁÊà¡¡¡Øí»ë¦??£¯ìýíÞªÏøÍÏà1ãÁÊàîñªÞªÇ 2?5êÅ¡¢9êÅ?10êÅ 9:00-18:00  6?8êÅ 9:00-18:30  11?1êÅ 9:00-17:30  ý­ê½??ãÁÊà¡¡¡Ø«¬«¤«ÉªòÚáª¦??£¯ìýíÞªÏøÍÏà1ãÁÊà30ÝÂîñªÞªÇ 3?5êÅ¡¢9êÅ?10êÅ 10:00-17:30  6?8êÅ 10:00-18:00  2êÅ¡¢11êÅ 10:00-17:00 12êÅ?1êÅ 10:00-16:30","","êÅèøìí","ò¢ù»?3?àÊ¡¸«¢«ó«°«¯¡¹?3ÛãõóÏ¢ª«ªéÓù?5ÝÂ ò¢ù»?5?àÊ¡¸«Á«ç«ó«Î«µ«à«¬¡¹?7ÛãõóÏ¢ª«ªéÓù?10ÝÂ    ò¢ù»?1?àÊ¡¸«Á«ç«ó«Î«µ«à«¬¡¹?6ÛãõóÏ¢ª«ªéÓù?10ÝÂ","ÎÃûùÚ¦Õ­ß£Íëê®èÝÏàÙþûùë¶ß§«æ«Í«¹«³÷ÁðóÏàîüÝúê½Í¯Ïà«Õ«¦«©«óý­ê½ÜÁðí?÷¾ÕÞû¿","«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"2590","ja","«Á«ç«²«µ(ðÇ?ÞÑ)","110-170 «½«¦«ëã¼ñ£ÖØ?Ì±ò¤Ô× 45","110-170 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«¦«¸«ç«ó«°«¯«í55 (Ì±ò¤Ô×)","+82-2-768-8600","+82-2-720-1391","http://www.jogyesa.kr/user/japan/","Ûö?¡¢Ñ·?¡¢Íêå×ªÊªÉìíªËªèªÃªÆì¶ªÊªë¡£","","","ò¢ù»?3?àÊ¡¸«¢«ó«°«¯¡¹?6ÛãõóÏ¢ª«ªéÓù?10ÝÂ ò¢ù»?5?àÊ¡¸«¯«¡«ó«Õ«¡«à«ó¡¹?2ÛãõóÏ¢ª«ªéÓù?15ÝÂ ò¢ù»?1?àÊ¡¸«Á«ç«ó«¬«¯¡¹?2ÛãõóÏ¢ª«ªéÓù?10ÝÂ","?ÞÈðÇ?ÞÑë¶îæò¢¡¤Ùþûùî¯ÞÑ??ñ¤ÖØ«Æ«ó«×«ë«¹«Æ«¤","«¢«¯«»«·«Ó«ê«Æ«£"
"1449","ja","«Á«ç«ó«É«ó(ïöÔ×)Ð¼íÞ ","100-120 «½«¦«ëã¼ñé?ïöÔ× 8¡©11","04518 «½«¦«ëã¼«Á«å«ó(ñé)?«Á«ç«ó«É«ó«®«ë43 (ïöÔ×)","+82-2-751-1500","+82-2-751-1588","https://www.jeongdong.or.kr/portal/main/main.do","ÊÀÍëæÑªËªèªê«¹«±«¸«å?«ëª¬ì¶ªÊªêªÞª¹¡£ 9:00?18:00","","êÅèøìí","ò¢ù»?5?àÊ¡¸«½«Ç«à«ó¡¹?5ÛãõóÏ¢ª«ªéÓù?10ÝÂ ò¢ù»?1?àÊ¡¸«·«Á«ç«ó¡¹?1Ûã¡¢2Ûã¡¢12ÛãõóÏ¢ª«ªéÓù?5?10ÝÂ ò¢ù»?5?àÊ¡¸«¯«¡«ó«Õ«¡«à«ó¡¹?6ÛãõóÏ¢","ÍëæÑ?íÞéýâú¡¤«¢?«ÈïöÔ×Ð¼íÞ","«¢«¯«»«·«Ó«ê«Æ«£«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ"
"828","ja","«Á«ç«ó«ß«ç(ðóÙÙ)","110-400 «½«¦«ë÷åÜ¬ã¼ñ£ÖØ??ïÌÔ×1-2 ","03135 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«Á«ç«ó«í157 (?ïÌÔ×)","+82-2-765-0195","","http://jm.cha.go.kr/agapp/main/index.do?siteCd=JM","[2êÅ~5êÅ¡¢9êÅ~10êÅ] 9:00-18:00(ìýíÞªÏ17:00ªÞªÇ) [6êÅ~8êÅ] 9:00-18:30(ìýíÞªÏ17:30ªÞªÇ) [11êÅ~1êÅ] 09:00~17:30(ìýíÞªÏ16:30ªÞªÇ) ¡Ø«¦«§«Ö«µ«¤«Èªòª´?ðÎª¯ªÀªµª¤","","ûýèøìí","ò¢ù»?1?àÊ/3?àÊ/5?àÊ¡¸«Á«ç«ó«Î«µ«à«¬¡¹?8Ûã¡¢11ÛãõóÏ¢ª«ªéÓù?5ÝÂ","óã?Ïàñìé©Ùíû¡Ùþûùî¯«æ«Í«¹«³á¦Í£Ùþûùë¶ß§ÎÃûùÚ¦ðóÙÙðóÙÙð®?ðóÙÙð®??óãÌÔÏà«Á«ç«ó«ß«çñ¤ÖØ3Ê¶èÝÊ«ªÎ?ÙÙë¶îæò¢¡¤Ùþûùî¯?ÞÈ","«¢«¯«»«·«Ó«ê«Æ«£«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"1791","ja","«È«µ«ó(Óöß£)Íëê®","135-120 «½«¦«ëã¼Ë°Ñõ?ãæÞÞÔ× 649-9","135-120 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«È«µ«ó«Ç«í45«®«ë20 (ãæÞÞÔ×)","+82-2-3423-6245","","","Íëê®24ãÁÊà¡¢«È«µ«ó(Óöß£)ÑÀÒ·Î½10:00?16:00¡¢÷Ï¡¤õæìí10:00?14:00","","Ò´ñéÙíýÌ («È«µ«ó(Óöß£)ÑÀÒ·Î½ªÏìíèøìí¡¢?ïáêÅªÈõÕàª(?ÝÎ)ªÎÊÀÖ§ýÌ¡¢á¡÷«ð®)","ò¢ù»?3?àÊ¡¸«¢«Ã«¯«¸«ç«ó¡¹?2Ûã¡¢3ÛãõóÏ¢ª«ªéÓù?10ÝÂ","Óöß£Íëê®ää?ïÍ?ÞÈ«¢«×«¯«¸«ç«óÍëê®î÷ãÆË°Ñõ","«¢«¯«»«·«Ó«ê«Æ«£«Ð«ê«¢«Õ«ê?«È«¤«ì"
"75","ja","«Ê«à«µ«ó(Ñõß£)«½«¦«ë«¿«ï?","140-022 «½«¦«ëã¼×£ß£?éÌß£Ô×2Ê¶ ß£1-3","04340 «½«¦«ëã¼«è«ó«µ«ó(×£ß£)?«Ê«à«µ«ó«´«ó«¦«©«ó«®«ë105 (éÌß£Ô×2Ê¶)","+82-2-3455-9277","","http://www.seoultower.co.kr/jp","øÁìí 12:00-21:00 ñÎØÇÐàªÓõæìí11:00-21:00   ¡Ø ðûÖõãÁÊà30îñªÞªÇìýíÞÊ¦Òö ¡Ø «ì«¹«È«é«óªÎê¡?ãÁÊàªÏïÁ?ªËªèªêì¶ªÊªêªÞª¹¡£«¦«§«Ö«µ«¤«ÈªÇª´ü¬ìãª¯ªÀªµª¤¡£","Ò´ñéÙíýÌ","ªÊª·","ò¢ù»?6?àÊ¡¸«¤«Æ«¦«©«ó¡¹?4ÛãõóÏ¢ª«ªé03Ûã«Ð«¹ªË?ªê«Ê«à«µ«ó(Ñõß£)«½«¦«ë«¿«ï?ù»ó³    ò¢ù»?3?àÊ¡¸«È«ó«Ç«¤«Ã«¯¡¹?6ÛãõóÏ¢ª«ªé02Ûã«Ð«¹ªË?ªê«Ê«à«µ«ó(Ñõß£)«½«¦«ë«¿«ï?ù»ó³    ò¢ù»?3?àÊ¡¸«Á«å«ó«à«í¡¹?2ÛãõóÏ¢ª«ªé02Ûã«Ð«¹ªË?ªê«Ê«à«µ«ó(Ñõß£)«½«¦«ë«¿«ï?ù»ó³    ","«é«ó«É«Þ?«¯«½«¦«ëå¨ÌØî÷ØÐ÷»N«½«¦«ë«¿«ï?Ñõß£«Ê«à«µ«ó«½«¦«ë«¿«ï?«±?«Ö«ë««?Ñõß£«½«¦«ë«¿«ï?","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
