시도,시군구,업종,업소명,주소,주요품목,가격,연락처
대전광역시,유성구,한식_분식,다유미,대전광역시 유성구 문화원로 16,김밥,1300원,042-823-6888
대전광역시,유성구,한식_찌개류,정식당,대전광역시 유성구 유성대로 646번길52,뼈다귀탕,5000원,042-822-0745
대전광역시,유성구,한식_기타,토종순대,대전광역시 유성구 유성대로 730번길29,순대국밥,4000원,042-822-1245
대전광역시,유성구,이미용업,강정원헤어러브,대전광역시 유성구 유성대로 730번길24,커트,6000원,042-825-8092
대전광역시,유성구,이미용업,수헤어,대전광역시 유성구 계룡로 13,커트(남성),5000원,042-478-2005
대전광역시,유성구,한식_육류,머슴골식객,대전광역시 유성구 유성대로736번길 84(장대동),숯불왕갈비(350g),9000원,042-825-9726
대전광역시,유성구,중식,요리왕,대전광역시 유성구 농대로 17번길 24,자장면,2500원,042-825-0999
대전광역시,유성구,이미용업,지영미용실,대전광역시 유성구 유성대로 720번길 64,커트,5000원,042-822-6203
대전광역시,유성구,이미용업,수림미용실,대전광역시 유성구 유성대로 720번길 44,커트,5000원,042-823-7235
대전광역시,유성구,이미용업,평화미용실,대전광역시 유성구 유성대로 720번길 63-5,커트,5000원,042-823-5320
대전광역시,유성구,한식_면류,고향손칼국수,대전광역시 유성구 유성대로 752번길 33,칼국수,3000원,042-823-3393
대전광역시,유성구,이미용업,머리사랑미용실,대전광역시 유성구 진잠로 42번길 88 진잠타운상가 207호,커트,7000원,042-544-5700
대전광역시,유성구,한식_찌개류,유성시니어크럽100세두부집,대전광역시 유성구 유성대로 752번길 36,된장찌개,5000원,042-825-7782
대전광역시,유성구,기타양식,다락방식당,대전광역시 유성구 유성대로 740번길 42,생선가스,4000원,042-823-2949
대전광역시,대덕구,중식,중국집,대전광역시 대덕구 중리로31번길 6-20(중리동),짜장면,4000원,042-628-1007
대전광역시,대덕구,한식_일반,삼광육계장,대전광역시 대덕구 선비마을로5번길 9(송촌동),"육계장, 곰탕",5000원,042-626-4045
대전광역시,대덕구,이미용업,미성헤어라인,대전광역시 대덕구 송촌북로19번길 5(송촌동),여성커트,6000원,042-623-8061
대전광역시,대덕구,세탁업,선비마을3단지 세탁,대전광역시 대덕구 동춘당로114번길 60(송촌동),드라이크리닝(양복상하의),6000원,042-637-8686
대전광역시,대덕구,한식_육류,포돈포돈,대전광역시 대덕구 한남로38번길 20(오정동),삼겹살무한리필,10900원,042-621-8253
대전광역시,대덕구,중식,7080중화요리,대전광역시 대덕구 석봉로37번길 60-16(석봉동),짜장면,3500원,042-934-1313
대전광역시,대덕구,한식_일반,혜화식당,대전광역시 대덕구 송촌북로4번길 41-8(송촌동),칠보국밥,5000원,042-673-0837
대전광역시,대덕구,중식,청운반점,대전광역시 대덕구 오정로76번길 2(오정동),자장면,5000원,042-622-2051
대전광역시,대덕구,이미용업,유수현미용실,대전광역시 대덕구 덕암북로22번길 46 (덕암동),커트,7000원,042-934-4537
대전광역시,대덕구,이미용업,채아린헤어샵,대전광역시 대덕구 덕암북로22번길 52 (덕암동),커트,7000원,042-935-0325
대전광역시,대덕구,한식_면류,오가네홍두깨손칼국수,대전광역시 대덕구 덕암로 233번길 24(덕암동),칼국수,4000원,070-7619-7475
대전광역시,대덕구,한식_일반,대로식당,대전광역시 대덕구 대덕대로 1605번길 7호(석봉동),백반,6000원,042-935-8892
대전광역시,대덕구,한식_일반,돌돌김밥,대전광역시 대덕구 석봉로37번길 51 (석봉동),떡만두국,4000원,042-932-1296
대전광역시,대덕구,한식_육류,탄불이연탄불고기쌈밥,"대전광역시 대덕구 대청로 9, 1층 (신탄진동)",연탄불고기쌈밥,9000원,042-933-6069
대전광역시,대덕구,한식_일반,정다운 보리밥,대전광역시 대덕구 신탄진동로7번길 74 (신탄진동),보리밥,5000원,042-933-3133
대전광역시,대덕구,한식_일반,황토맨발,"대전광역시 대덕구 게족산로17번길 110, 1층 (법동)",쫄뜨기두부전골,7000원,042-636-5578
대전광역시,대덕구,한식_면류,순봉홍두깨손칼국수,"대전광역시 대덕구 중리북로37번길 41, 101호 (중리동, 1층)",칼국수,4000원,042-223-7572
대전광역시,대덕구,이미용업,헤어코리아미용실,대전광역시 대덕구 중리북로 53 (중리동),여자컷,5000원,042-624-0594
대전광역시,대덕구,이미용업,머리하는 풍경,"대전광역시 대덕구 중리북로 49 (증리동, 1층)",여자 컷,6000원,042-673-5008
대전광역시,대덕구,이미용업,투투머리마을미용실,대전광역시 대덕구 동춘당로23번길 58 (송촌동),여자 컷,6000원,042-632-7765
대전광역시,대덕구,한식_육류,미정숯불갈비,대전광역시 대덕구 동춘당로23번길 51 (송촌동),생삼겹살(200g),8000원,042-623-8677
대전광역시,대덕구,한식_육류,김연수소국밥막국수,대전광역시 대덕구 대전로 1370번길 13-14 (읍내동),소머리국밥,7000원,042-634-3325
대전광역시,대덕구,한식_분식,김밥나라,대전광역시 대덕구 대전로 1358 (읍내동),김밥,1500원,042-636-2548
대전광역시,대덕구,한식_육류,식풍경,대전광역시 대덕구 대화동 동심 5길 3(대화동),뼈해장국,6500원,042-627-7288
대전광역시,대덕구,한식_일반,장미식당,대전광역시 대덕구 대화동 동심 1길 69(대화동),김치찌개,6000원,042-673-5931
대전광역시,대덕구,중식,만보성,대전광역시 대덕구 한밭대로972번길 86(오정동),짜장면,4000원,042-632-0095
대전광역시,대덕구,한식_면류,달무리국수전문점,"대전광역시 대덕구 한남로137번길 48, 1층 (오정동)",칼국수,4000원,042-626-7869
대전광역시,대덕구,한식_육류,외양간숯불구이,대전광역시 대덕구 오정동 705-65,선짓국,3000원,042-637-5455
대전광역시,대덕구,한식_육류,나래원식당,대전광역시 대덕구 비래동로16번길 13,안동찜닭(소),16000원,042-252-0838
대전광역시,대덕구,한식_일반,강청골순대국밥,대전광역시 대덕구 계족산로5번길 90,순대국밥,5000원,042-627-8181
대전광역시,대덕구,한식_일반,은진손두부,대전광역시 대덕구 덕암로 234번길 30,김치찌개,5000원,042-932-1744
대전광역시,대덕구,한식_면류,최고집잔치국수,대전광역시 대덕구 덕암로 265번길 127,잔치국수,3500원,042-934-8003
대전광역시,대덕구,한식_면류,아지매왕냉면왕갈비탕,대전광역시 대덕구 계족산로 17번길 91,세숫대야왕냉면,5000원,042-639-6089
대전광역시,대덕구,한식_면류,오가네홍두께손칼국수,대전광역시 대덕구 우암로 407,손칼국수,4000원,042-627-7475
대전광역시,대덕구,한식_찌개류,행복담은 한그릇,대전광역시 대덕구 대전로1020번길 23,새싹비빔밥,4000원,042-631-0045
대전광역시,대덕구,한식_육류,덕암삼겹살,대전광역시 대덕구 덕암로 251,생삼겹살(200g),8000원,042-931-0245
대전광역시,대덕구,한식_일반,보성식당,대전광역시 대덕구 석봉로 37번길 60-7,청국장게장백반,6000원,042-932-7494
대전광역시,대덕구,한식_일반,진미정식,대전광역시 대덕구 중리동로 17번길 50,가정식백반,6000원,042-623-8810
대전광역시,대덕구,한식_일반,이모네,대전광역시 대덕구 동서대로1809번길 9,고등어백반,5000원,042-625-4047
대전광역시,대덕구,한식_면류,호박식당,대전광역시 대덕구 비래동로7번길 13,칼국수,4000원,042-623-1426
대전광역시,대덕구,이미용업,헤어나이스,대전광역시 대덕구 비래동로15번길 27,성인컷트(여),7000원,042-622-1711
대전광역시,대덕구,중식,한남짜장,대전광역시 대덕구 한남로 61,자장면,2500원,042-624-4082
대전광역시,대덕구,양식,킴스돈까스,대전광역시 대덕구 한남로 61,새우까스,3500원,042-627-5787
대전광역시,대덕구,한식_찌개류,제일추어탕,대전광역시 대덕구 한남로 137,돌솥추어탕(점심),6000원,042-633-1190
대전광역시,대덕구,한식_면류,왕궁바지락칼국수,대전광역시 대덕구 대전로1019번길 37,오징어두루치기(2인분),10000원,042-673-2242
대전광역시,대덕구,한식_일반,오부자강릉집,대전광역시 대덕구 한밭대로1006번길 74,낙지뚝배기,5000원,042-626-1888
