순번,의료기관명,의료기관주소(도로명),의료기관전화번호
273,홍산부인과의원,"대전광역시 서구 대덕대로176번길 9, 2층 (둔산동)",042-361-1000
274,가장성모내과의원,"대전광역시 서구 도산로 286, 2층 (가장동)",042-538-7575
275,박준철내과의원,"대전광역시 서구 대덕대로 199, 3층 (둔산동)",042-483-8275
276,엠제이피부과의원,"대전광역시 서구 대덕대로 179, 13층 (둔산동, 엠제이피부과굿모닝어학원빌딩)",042-471-0880
277,둔산성모정형외과의원,"대전광역시 서구 월평북로 88, 지하1층 지상1층 (월평동)",042-483-7575
278,삼성외과의원,"대전광역시 서구 대덕대로176번길 9, 6,7층 (둔산동)",042-361-5500
279,김재룡성형외과의원,"대전광역시 서구 대덕대로 179, 12층 (둔산동, 엠제이피부과굿모닝어학원빌딩)",042-477-0011
280,플러스성형외과의원,"대전광역시 서구 대덕대로 203, 6층 (둔산동)",042-486-6543
281,멘파워비뇨기과의원,"대전광역시 서구 대덕대로 199, 3층 (둔산동)",042-472-3690
282,삼성이비인후과의원,"대전광역시 서구 갈마로 255, 3층 (괴정동, 인선빌딩)",042-538-5004
283,수비뇨기과의원,"대전광역시 서구 청사서로 26, 5층 501호 (월평동)",042-471-5975
284,류태희신경외과의원,"대전광역시 서구 동서대로 1147, 3층 (가장동, 온누리클리닉)",042-366-7775
285,온누리수의원,"대전광역시 서구 동서대로 1147, 5, 6층 (가장동)",042-538-1000
286,열린이비인후과의원,"대전광역시 서구 도산로 45, 3층 (도마동)",042-585-3600
287,희망정신건강의학과의원,"대전광역시 서구 대덕대로 199, 2층 (둔산동)",042-535-0778
288,파티마정형외과의원,"대전광역시 서구 대덕대로168번길 94, 1층,3층 (갈마동)",042-538-2288
289,소망내과의원,"대전광역시 서구 갈마중로 11, 1층 (갈마동)",042-523-1801
290,김병국이비인후과의원,"대전광역시 서구 둔산로 76, 6층 (둔산동)",042-477-5475
291,의료법인중앙의료재단씨엠아이의원,"대전광역시 서구 한밭대로 797, 지하1층 (둔산동)",042-477-9633
292,우신정형외과의원,"대전광역시 서구 갈마로 79, 1,3층 (갈마동)",042-538-5700
293,둔산스마일의원,"대전광역시 서구 계룡로553번안길 37, 2층 (탄방동)",042-487-9794
294,미래성형외과의원,"대전광역시 서구 계룡로 595, GOLD BANK gold 4층 (탄방동)",042-524-4720
295,성누가재활의학과의원,"대전광역시 서구 계룡로 650, 2,4층 (용문동)",042-525-5553
296,신비뇨기과의원,"대전광역시 서구 계룡로 605, 3층 302호 (탄방동)",042-522-5255
297,쾌유내과의원,"대전광역시 서구 둔산로 232, 2층 (둔산동)",042-483-7554
298,둔산평안내과의원,"대전광역시 서구 둔산로 121, 2층 (둔산동)",042-483-6655
299,제네스성형외과의원,"대전광역시 서구 둔산로 52, 4층 (둔산동)",042-483-3773
300,나노필의원,"대전광역시 서구 문정로 70, 7층 (탄방동)",042-526-7501
301,한솔외과의원,"대전광역시 서구 배재로 175, 2층 (도마동)",042-533-9797
302,정창훈성형외과의원,"대전광역시 서구 대덕대로 199, 6층 (둔산동, 우남빌딩)",042-484-9119
303,강남비뇨기과의원,"대전광역시 서구 문예로 65, 3층 (둔산동, 대광빌딩)",042-489-9922
304,이종미산부인과의원,"대전광역시 서구 월평중로 24, 3층 (월평동, 푸른크리닉)",042-471-3575
305,양성열성형외과의원,"대전광역시 서구 도솔로 391, 3층 (괴정동)",042-523-9959
306,마음사랑정신건강의학과의원,"대전광역시 서구 둔산로 134, 302호 (둔산동)",042-483-1615
307,속편한내과의원,"대전광역시 서구 둔산중로 74, 6층 (둔산동, 인곡타워)",042-476-4600
308,미소가득한내과의원,"대전광역시 서구 대덕대로 226, 5층 (둔산동, 대전 둔산동 명동프라자)",042-472-1090
309,성시경내과의원,"대전광역시 서구 청사로 228, 201호 (둔산동, 청사오피스텔)",042-472-7766
310,만석의원,대전광역시 서구 계백로1158번길 7-11 (가수원동),042-542-7575
311,관저한빛정형외과의원,"대전광역시 서구 도안남로 148, 3층 (관저동)",042-544-7282
312,한샘정형외과의원,"대전광역시 서구 문정로 144, 지하1,1,3층 (탄방동)",042-471-7582
313,서강의원,"대전광역시 서구 계백로1158번길 9, 2층 (가수원동)",042-541-1177
314,굿모닝의원,"대전광역시 서구 문정로 64, 5층 (탄방동)",042-489-2263
315,킴스의원,"대전광역시 서구 계백로 1440, 4층 (도마동)",042-585-0088
316,이호외과의원,"대전광역시 서구 도산로 398, 1,2,3층 (용문동)",042-537-2533
317,큰사랑의원,"대전광역시 서구 월평로 58, 3층 (월평동, 조명빌딩)",042-487-1975
318,한마음의원,"대전광역시 서구 문정로 30, 3층 (탄방동)",042-472-5022
319,서울영상의학과의원,"대전광역시 서구 문정로 30, 지하1층,4층 (탄방동)",042-472-7501
320,김영운내과의원,"대전광역시 서구 정림동로5번길 23, 2층 (정림동)",042-586-7778
321,최규남성형외과의원,"대전광역시 서구 계룡로 599, 5층 (탄방동, 한밭새마을금고사옥)",042-537-2020
322,닥터스미성형외과의원,"대전광역시 서구 대덕대로 187, 1,2,3,4층 (둔산동)",042-471-1116
323,배재누리정형외과의원,"대전광역시 서구 배재로 196, 1층 (도마동)",042-488-6701
324,초원의원,"대전광역시 서구 만년로 45, 207호 (만년동, 초원아파트상가)",042-489-9068
325,충청외과의원,"대전광역시 서구 둔산중로 38, 3층 (둔산동, 메트로존)",042-472-6272
326,삼성재활의학과의원,"대전광역시 서구 둔산로 228, 2층 (둔산동)",042-471-7500
327,두리안과의원,"대전광역시 서구 문예로 69, 5층 (둔산동, 오성빌딩)",042-471-1001
328,가수원이비인후과의원,"대전광역시 서구 계백로 1161, 304호 (가수원동, 유니온빌딩)",042-542-0245
329,서울삼성내과의원,"대전광역시 서구 도안동로 3, 5층 (가수원동, 리더스프라자)",042-542-2030
330,관저내과의원,"대전광역시 서구 관저중로95번길 57, 2층 202호 (관저동)",042-542-9760
331,류상열재활의학과의원,"대전광역시 서구 청사서로 36, 2층 (월평동, 몽암빌딩)",042-488-7525
332,청사이비인후과의원,"대전광역시 서구 청사로 228, 305호 (둔산동, 청사오피스텔)",042-472-2633
333,을지의원,"대전광역시 서구 계백로1158번길 114, 2층 (가수원동)",042-541-0586
334,김병호내과의원,"대전광역시 서구 문예로 69, 5층 (둔산동)",042-484-9233
335,서울마취통증의학과의원,"대전광역시 서구 계룡로 605, 5층 (탄방동)",042-483-7272
336,김상국정신건강의학과의원,"대전광역시 서구 대덕대로 202, 5층 (둔산동)",042-488-7002
337,차종식피부과의원,"대전광역시 서구 둔산중로 19, 2층 (탄방동, 샤크존)",042-483-7606
338,경성의원,"대전광역시 서구 대덕대로 150, 3층 (갈마동)",042-525-3928
339,김재덕성형외과의원,"대전광역시 서구 계룡로 633, 8층 (탄방동, 우리빌딩)",042-472-0001
340,삼성송암내과의원,"대전광역시 서구 둔산북로 121, 1층 101호 (둔산동, 아너스빌)",042-472-8809
341,연세연합의원,"대전광역시 서구 계백로 1420, 2층 (도마동)",042-586-0911
342,양승돈성형외과의원,대전광역시 서구 대덕대로 200 (둔산동),042-472-9779
343,수이비인후과의원,대전광역시 서구 동서대로 1090 (변동),042-527-6226
344,한찬수마취통증의학과의원,"대전광역시 서구 둔산로 121, 4층 (둔산동)",042-487-0047
345,한사랑가정의학과의원,"대전광역시 서구 계백로 1403, 2층 (도마동)",042-525-8575
346,선사신경외과의원,"대전광역시 서구 청사서로 10, 1층 (월평동)",042-472-9975
347,한마음정형외과의원,"대전광역시 서구 문정로 32, B1,1,2,3,5층 (탄방동)",042-484-7575
348,박상철신경과의원,"대전광역시 서구 문예로 65, 5층 (둔산동)",042-485-7669
349,둔산이비인후과의원,"대전광역시 서구 대덕대로167번길 5, 201호 (갈마동, 둔산빌딩)",042-532-8882
350,자애산부인과의원,"대전광역시 서구 문정로 32, 4층 (탄방동)",042-472-7575
351,시티재활의학과의원,"대전광역시 서구 둔산로 76, 4층 (둔산동, 시티크리닉)",042-486-8287
352,선사영상의학과의원,"대전광역시 서구 청사로 121, 3층 (월평동)",042-486-5475
353,푸른외과의원,"대전광역시 서구 월평중로 24, 4층 (월평동)",042-485-3161
354,주인하이비인후과의원,"대전광역시 서구 대덕대로 202, 6층 (둔산동)",042-472-2203
355,박비뇨기과의원,"대전광역시 서구 대덕대로176번길 9, 8층 (둔산동)",042-489-7177
356,나래의원,"대전광역시 서구 월평동로 45, 203호 (월평동, 진달래아파트상가)",042-484-1686
357,권비뇨기과의원,"대전광역시 서구 대덕대로 202, 6층 (둔산동, 타임크리닉)",042-486-7300
358,어울림성형외과의원,"대전광역시 서구 대덕대로176번길 9, 5층 (둔산동)",042-484-8633
359,임현순산부인과의원,"대전광역시 서구 대덕대로 202, 3층 (둔산동)",042-489-9100
360,동양내과의원,"대전광역시 서구 대덕대로 202, 4층 (둔산동)",042-488-7503
361,유로진비뇨의학과의원,"대전광역시 서구 둔산로 76, 시티크리닉 302호 (둔산동)",042-484-4433
362,최용석내과의원,"대전광역시 서구 둔산로 67, 2층 (둔산동, 경보빌딩)",042-488-7585
363,현대내과의원,"대전광역시 서구 계백로 1426, 203호 (도마동, 써머스빌)",042-584-7000
364,백낙천신경과의원,"대전광역시 서구 도산로 45, 502호 (도마동)",042-583-5969
365,정림이비인후과의원,"대전광역시 서구 계백로 1278, 1층 (정림동)",042-582-2999
366,제일내과의원,"대전광역시 서구 관저북로 12, 2층 (관저동)",042-541-5585
367,닥터오즈정신건강의학과의원,대전광역시 서구 청사로 121 (월평동),042-488-3367
368,이헌주성형외과의원,"대전광역시 서구 대덕대로 193, 7층 (둔산동, 하나빌딩)",042-483-6141
369,영산부인과의원,"대전광역시 서구 대덕대로167번길 5, 5층 (갈마동)",042-533-0330
370,신아웰니스의원,"대전광역시 서구 대덕대로 226, 5층 (둔산동, 대전 둔산동 명동프라자)",042-488-8334
371,관저성모의원,"대전광역시 서구 관저북로 78, 202,203호 (관저동)",042-545-7575
372,푸른내과의원,"대전광역시 서구 갈마로 255, 2층 (괴정동)",042-532-5977
373,박안과의원,"대전광역시 서구 계백로 1440, 2층 (도마동)",042-583-8922
374,모정욱재활의학과의원,"대전광역시 서구 문예로 43, 7층 (둔산동)",042-489-2040
375,덕진의원,대전광역시 서구 조달청길 36 (도마동),042-527-8275
376,둔산한빛내과의원,"대전광역시 서구 문예로 43, 3층 (둔산동)",042-486-7600
377,김주영이비인후과의원,"대전광역시 서구 월평북로 88, 3층 (월평동)",042-482-8997
378,더블유피부과의원,"대전광역시 서구 대덕대로 195, 3,4층 (둔산동)",042-471-1115
379,나우내과의원,대전광역시 서구 계룡로 356 (갈마동),042-522-9007
380,세인연합의원,"대전광역시 서구 계백로 1436, 4,5층 (도마동)",042-582-0275
381,탑신경외과의원,대전광역시 서구 도산로 92 (도마동),042-532-3954
382,세란의원,"대전광역시 서구 복수서로 50, 201,202호 (복수동, 삼익목화B상가)",042-585-2509
383,그린성모의원,"대전광역시 서구 둔산로 14, 2층 (둔산동, 그린코아)",042-487-7320
384,양이비인후과의원,"대전광역시 서구 청사로 121, 5층 청사서로 26 미래빌딩2층호 (월평동)",042-486-2031
385,강재활의학과의원,대전광역시 서구 계백로 1436 (도마동),042-581-8685
386,건강미내과의원,"대전광역시 서구 둔산남로 46, 3층 (둔산동)",042-482-0944
387,디에이치안광병신경과의원,"대전광역시 서구 대덕대로 244, 건국타워 703,704호 (둔산동)",042-486-8100
388,김영철비뇨기과의원,대전광역시 서구 계백로 1272 (정림동),042-585-9768
389,샘머리성모소아청소년과의원,"대전광역시 서구 청사로 281, 3층 308호 (둔산동, 샘머리아파트2단지)",042-485-2220
390,한솔내과의원,대전광역시 서구 계백로 1272 (정림동),042-585-7476
391,김용석소아청소년과의원,"대전광역시 서구 둔산로 201, 207,208호 (둔산동)",042-487-2355
392,사)한국건강관리협회건강증진의원,대전광역시 서구 계룡로 611 (탄방동),042-532-9890
393,선사내과의원,"대전광역시 서구 청사로 121, 지하1,지상2층 (월평동)",042-486-5471
394,신재활의학과의원,대전광역시 서구 청사로 121 (월평동),042-486-2308
395,명안과의원,"대전광역시 서구 청사로 121, 4,6층 (월평동)",042-486-2341
396,인제정형외과의원,대전광역시 서구 계백로 1264 (정림동),042-585-5900
397,세브란스산부인과의원,"대전광역시 서구 문정로 88, 2~8층 (탄방동)",042-485-3091
398,이종성피부과의원,"대전광역시 서구 도산로 45, 3층 (도마동)",042-585-1402
399,튼튼소아청소년과의원,대전광역시 서구 둔산로 210-1 (둔산동),042-477-1275
400,김봉천정형외과의원,대전광역시 서구 계백로 1130 (가수원동),042-541-4330
401,서울가정의학과의원,대전광역시 서구 변동로 49 (변동),042-531-9835
402,아주정형외과의원,"대전광역시 서구 동서대로 1072, 지하1층,2~5층 (변동)",042-534-6536
403,한사랑의원,"대전광역시 서구 문예로 19, 스카이빌딩 1,6층 (탄방동)",042-486-7577
404,정일호외과의원,대전광역시 서구 계룡로 353 (갈마동),042-487-7151
405,세광의원,"대전광역시 서구 둔산북로 215, 307호 (둔산동, 가람아파트상가)",042-482-6764
406,갈마중앙의원,"대전광역시 서구 신갈마로 133, 2,3층 (갈마동)",042-532-5013
407,윤신의이비인후과의원,"대전광역시 서구 청사로 65, 302호 (월평동, 황실코아상가)",042-489-6066
408,세종영상의학과의원,"대전광역시 서구 계백로 1436, 1,2층 (도마동)",042-584-1785
409,이기수의원,"대전광역시 서구 청사로 5, 119,120,204호 (월평동, 하나로아파트상가)",042-486-2536
410,동양굿모닝영상의학과의원,"대전광역시 서구 계룡로 607, 1,2,3,5층 (탄방동)",042-523-1114
411,조성일정형외과의원,"대전광역시 서구 관저중로95번길 86, 2,3층 (관저동)",042-542-0852
412,성모내과의원,"대전광역시 서구 신갈마로 118, 1층 (갈마동)",042-523-1548
413,박승억내과의원,"대전광역시 서구 탄방로7번길 65, 2층 (탄방동)",042-472-5822
414,광명의원,"대전광역시 서구 월평북로 11, 1,2층 (월평동, 주공아파트)",042-484-8275
415,한마음내과의원,"대전광역시 서구 관저로 172, 201호 (관저동)",042-541-3033
416,박언우이비인후과의원,"대전광역시 서구 문정로 174, 2층 (둔산동)",042-489-0666
417,복음내과의원,"대전광역시 서구 문정로 178, 2층 (둔산동)",042-483-9216
418,구자경피부과의원,"대전광역시 서구 대덕대로 199, 6층 (둔산동)",042-484-9831
419,유진호정신건강의학과의원,대전광역시 서구 도산로 46 (도마동),042-584-7979
420,유철재내과의원,대전광역시 서구 도산로 353 (용문동),042-535-7533
421,둔산안과의원,"대전광역시 서구 청사로 65, 306호 (월평동, 황실코아)",042-486-3420
422,둔산내과의원,대전광역시 서구 둔산로 212 (둔산동),042-487-0770
423,선내과의원,"대전광역시 서구 계백로 1442, 3층 (도마동)",042-583-7898
424,시티내과의원,"대전광역시 서구 둔산로 76, 4,7층 (둔산동)",042-485-4646
425,김세겸비뇨의학과의원,"대전광역시 서구 도산로 45, 501호 (도마동)",042-582-5677
426,성민내과의원,"대전광역시 서구 대덕대로167번길 5, 3층 (갈마동)",042-524-5930
427,현대소아청소년과의원,"대전광역시 서구 관저로 84, 202호 (관저동, 구봉마을아파트8단지상가)",042-541-1222
428,안필상내과의원,대전광역시 서구 배재로 156 (도마동),042-527-0952
429,세브란스소아청소년과의원,대전광역시 서구 도산로 119 (도마동),042-525-2560
430,박훈영내과의원,"대전광역시 서구 도산로 51, 2층 (도마동)",042-525-8247
431,최금숙산부인과의원,"대전광역시 서구 계백로 1388, 1층 (도마동)",042-582-7048
432,행림내과의원,"대전광역시 서구 도산로 197, 2층 (변동)",042-524-6776
433,선사소아청소년과의원,대전광역시 서구 청사로 121 (월평동),042-483-5525
434,이기정내과의원,대전광역시 서구 도산로 93 (도마동),042-523-3282
435,윤내과의원,대전광역시 서구 계룡로 662 (용문동),042-523-8866
436,정수성산부인과의원,대전광역시 서구 계백로 1440 (도마동),042-581-5250
437,이철원내과의원,대전광역시 서구 갈마로 242 (내동),042-524-9889
438,신재승의원,대전광역시 서구 계룡로 653-1 (용문동),042-533-6088
