"문화재종류","지정번호","명칭","수량","크기","소재지","소유자(관리자)","지정일자"
"기념물","54","한백륜 묘역","1기","2,137.20","서구 마전동 산120-4번지/ 1필지","청주한씨우의정청천부원군양혜공파종중","2004-04-06"
"기념물","55","삼목도 선사주거지","-","10,548.30","중구 운서동 1830-1번지 등 / 40필지","인천국제공항공사","2006-09-11"
"기념물","56","정제두 묘","-","694","강화군 양도면 하일리 산65/ 1필지","***(강화군수)","2007-02-26"
"기념물","57","김안정 묘 및 출토 묘비","1기","1,296.00","서구 원당동 810-10 / 1필지","풍산김씨 김포파종중","2008-12-01"
"기념물","58","허암 정희량 유허지","-","3,500.00","서구 검암동 산61-5번지 등/ 2필지","*** 외","2009-03-02"
"기념물","59","반남박씨 대종중 묘역","-","1,903.00","서구 대곡동 산151-1번지/ 1필지","반남박씨대종중(서구청장)","2010-04-27"
"기념물","60","의령남씨 종중 묘역","-","1,058.00","서구 원당동 산82-1번지/ 1필지","***","2010-04-27"
"기념물","61","평산신씨 종중 묘역","-","2,076.00","서구 대곡로368번안길 11/ 1필지","평산신씨정언공파이간공종중","2010-04-27"
"기념물","62","월성박씨 종중 묘역","-","7,428.00","남동구 서창동 산29-17번지/ 1필지","대한주택공사(월성박씨종중)","2010-05-03"
"기념물","63","이승훈 묘","1기","8,430.00","남동구 장수동 산132-1번지/ 1필지","학교법인 인천가톨릭학원","2011-12-28"
"기념물","64","강화 망산봉수","-","3,074.00","강화군 내가면 외포리 산131번지 / 1필지","강화군수","2011-12-28"
"기념물","65","황형 묘","1기","2,629.00","강화군 강화읍 월곳리 산 72-1번지 / 1필지","창원황씨 장무공파종중","2013-07-29"
"기념물","66","강화 정족산성진지","1곽","5,821.00","강화군 길상면 온수리 644/ 1필지","대한불교조계종전등사","2014-04-16"
"기념물","67","강화 정족산사고지","1곽2동","94.2","강화군 길상면 온수리 644/ 1필지","대한불교조계종전등사","2014-04-16"
"기념물","68","영일정씨 판결사공파x승지공파 동춘묘역","분묘17기석물66점","20,737","연수구 동춘동 52-11번지 등/3필지","영일정씨 판결사공x승지공파 중종","2020-03-02"
"민속문화재","1","보문사 맷돌","2기","2.7","강화군 삼산남로828번길 44/ 1필지","보문사","1995-03-02"
"민속문화재","2","용동 큰우물","1기","24.7","중구 인현동 90-13번지/ 1필지","국토교통부","1996-06-12"
"문화재자료","1","욕은지","-","205.9","계양구 어사대로 20 / 1필지","인천시교육감(계양구청장)","1982-03-02"
"문화재자료","3","어사대","1기","1.3","계양구 어사대로 20 / 1필지","인천시교육감","1990-11-09"
"문화재자료","4","각국조계석","1기","-","연수구 청량로160번길 26","인천광역시장(시립박물관장)","1990-11-09"
"문화재자료","5","원인재","-","2,645.70","연수구 경원대로 322 / 1필지","인천이씨대종회","1990-11-09"
"문화재자료","6","이세주묘 출토 관 덮개","2개","-","연수구 청량로160번길 26","인천광역시장(시립박물관장)","1994-11-04"
"문화재자료","7","전등사 대조루","1동","159.7","강화군 전등사로 37-41 / 1필지","인천시교육감","1995-03-02"
"문화재자료","8","철종외가","2동","1,952.50","강화군 철종외가길 46-1/ 4필지","파주염씨대종회 등(강화군수)","1995-03-02"
"문화재자료","9","원층사지","-","7,339.00","강화군 하점면 이강리 산177/ 1필지","***","1995-03-02"
"문화재자료","10","선수돈대","1기","3,187.00","강화군 화도면 내리 1831번지/ 2필지","산림청 등(강화군수)","1995-03-02"
"문화재자료","11","망월돈대","-","1,583.10","강화군 하점면 망월리 2107/ 2필지","기획재정부 외(강화군수)","1995-03-02"
"문화재자료","13","참성단 중수비","1기","714.9","강화군 화도면 흥왕리 산42-1/ 1필지","***(강화군수)","1995-03-02"
"문화재자료","14","강화 서도 중앙교회","1동","1,077.00","강화군 서도면 주문도리 718/ 3필지","(재)기독교대한감리회유지재단 등","1997-07-14"
"문화재자료","16","남북동 조병수가옥","2동","1,603.00","중구 용유로380번길 21 / 1필지","***","1997-07-14"
"문화재자료","17","화도돈대","1곽","1,263.00","강화군 선원면 연리 54 / 1필지","강화군수","1999-03-29"
"문화재자료","18","무태돈대","1곽","1,191.10","강화군 하점면 창후리 산151-4번지 / 2필지","강화군수 등","1999-03-29"
"문화재자료","19","장도포대지","-","2,275.00","남동구 아암대로 1614 / 3필지","남동구청장","2001-04-02"
"문화재자료","20","인천 해관문서","8면 1책","-","동구 화도진로 122","화도진도서관장","2002-02-04"
"문화재자료","21","전등사 대웅보전 후불탱","1폭","-","강화군 전등사로 37-41","전등사(강화군수)","2002-12-23"
"문화재자료","22","전등사 강설당 아미타불탱","1폭","-","강화군 전등사로 37-41","전등사(강화군청수)","2002-12-23"
"문화재자료","23","송현배수지 제수변실","-","19.1","동구 송현공원로 75-21 / 1필지","인천광역시장(상수도사업본부)","2003-11-10"
"문화재자료","24","능인교당 현왕탱화","1폭","83.5*105㎝","중구 우현로62번길 19, 능인사","능인사","2009-03-02"
"문화재자료","25","김취려 묘","1기","11,107.00","강화군 양도면 하일리 산71/ 1필지","언양김씨대종회","2010-12-06"
"문화재자료","26","용수사 철조여래좌상","1구","28*12.5cm","서구 석남1동 175-9","용수사","2014-04-16"
"문화재자료","27","흥륜사 아미타불도","1폭","129*206cm","연수구 동춘동 806-12","흥륜사","2014-04-16"
"문화재자료","28","흥륜사 신중도","1폭","129*156.7cm","연수구 동춘동 806-12","흥륜사","2014-04-16"
"문화재자료","29","양주성 금속비","1기","91×31×3㎝","중구 운중로 13-35","중구청장","2019-07-29"
